Temperature (K),Pressure (bar),Volume (l/mol)
298,1,24.381
298,1.1,22.127
298,1.2,20.25
298,1.3,18.661
298,1.4,17.299
298,1.5,16.119
298,1.6,15.086
298,1.7,14.174
298,1.8,13.364
298,1.9,12.639
298,2,11.986
298,2.1,11.396
298,2.2,10.859
298,2.3,10.368
298,2.4,9.9188
298,2.5,9.5053
298,2.6,9.1234
298,2.7,8.7699
298,2.8,8.4415
298,2.9,8.1357
298,3,7.8502
298,3.1,7.5832
298,3.2,7.3327
298,3.3,7.0974
298,3.4,6.8759
298,3.5,6.6671
298,3.6,6.4697
298,3.7,6.283
298,3.8,6.1061
298,3.9,5.9382
298,4,5.7787
298,4.1,5.6269
298,4.2,5.4823
298,4.3,5.3444
298,4.4,5.2127
298,4.5,5.0869
298,4.6,4.9665
298,4.7,4.8511
298,4.8,4.7405
298,4.9,4.6344
298,5,4.5326
298,5.1,4.4346
298,5.2,4.3404
298,5.3,4.2498
298,5.4,4.1624
298,5.5,4.0782
298,5.6,3.997
298,5.7,3.9185
298,5.8,3.8428
298,5.9,3.7695
298,6,3.6987
298,6.1,3.6302
298,6.2,3.5639
298,6.3,3.4996
298,6.4,3.4373
298,6.5,3.3768
298,6.6,3.3182
298,6.7,3.2613
298,6.8,3.206
298,6.9,3.1523
298,7,3.1001
298,7.1,3.0494
298,7.2,3
298,7.3,2.9519
298,7.4,2.9051
298,7.5,2.8595
298,7.6,2.8151
298,7.7,2.7718
298,7.8,2.7295
298,7.9,2.6883
298,8,2.6481
298,8.1,2.6089
298,8.2,2.5705
298,8.3,2.5331
298,8.4,2.4965
298,8.5,2.4608
298,8.6,2.4258
298,8.7,2.3916
298,8.8,2.3581
298,8.9,2.3254
298,9,2.2933
